player_id,name,role,team
4431,Carnesecchi,P,Atalanta
2297,Rossi F.,P,Atalanta
4,Sportiello,P,Atalanta
6444,Bonfanti,D,Atalanta
787,Djimsiti,D,Atalanta
6046,Hien,D,Atalanta
5526,Scalvini,D,Atalanta
5578,Kossounou,D,Atalanta
2640,Kolasinac,D,Atalanta
6916,Ahanor,D,Atalanta
4887,Bellanova,D,Atalanta
6832,Palestra,D,Atalanta
554,Zappacosta,D,Atalanta
22,De Roon,C,Atalanta
5792,Ederson D.S.,C,Atalanta
6024,Sulemana I.,C,Atalanta
4947,Brescianini,C,Atalanta
2077,Pasalic,C,Atalanta
5119,Samardzic,C,Atalanta
4896,Maldini,C,Atalanta
5995,De Ketelaere,A,Atalanta
5918,Sulemana K.,A,Atalanta
4730,Lookman,A,Atalanta
2137,Scamacca,A,Atalanta
6229,Tourè E.,A,Atalanta
7172,Pessina Mas.,P,Bologna
2722,Ravaglia F.,P,Bologna
133,Skorupski,P,Bologna
5498,Casale,D,Bologna
4982,Erlic,D,Bologna
6551,Ilic M.,D,Bologna
6042,Lucumì,D,Bologna
7068,Vitik,D,Bologna
6066,Posch,D,Bologna
487,De Silvestri,D,Bologna
5678,Holm,D,Bologna
2653,Lykogiannis,D,Bologna
4734,Miranda J.,D,Bologna
6225,El Azzouzi,C,Bologna
788,Freuler,C,Bologna
6054,Moro N.,C,Bologna
5298,Pobega,C,Bologna
5784,Aebischer,C,Pisa
6206,Fabbian,C,Bologna
5858,Ferguson,C,Bologna
5564,Ndoye,C,Bologna
184,Bernardeschi,C,Bologna
2167,Orsolini,C,Bologna
2765,Odgaard,C,Bologna
6895,Dominguez B.,A,Bologna
6459,Karlsson,A,Bologna
4436,Cambiaghi,A,Bologna
6572,Castro S.,A,Bologna
6643,Dallinga,A,Bologna
785,Immobile,A,Bologna
4360,Caprile,P,Cagliari
4929,Ciocci,P,Cagliari
3,Radunovic,P,Cagliari
393,Luperto,D,Cagliari
4210,Mina,D,Cagliari
6464,Wieteska,D,Cagliari
5701,Obert,D,Cagliari
6636,Veroli,D,Cagliari
4461,Zappa,D,Cagliari
5406,Di Pardo,D,Cagliari
7125,Idrissi R.,D,Cagliari
4433,Zortea,D,Cagliari
4870,Adopo,C,Cagliari
1871,Deiola,C,Cagliari
7165,Liteta,C,Cagliari
6424,Prati,C,Cagliari
6252,Folorunsho,C,Cagliari
6640,Felici,C,Cagliari
4364,Gaetano,C,Cagliari
5297,Luvumbo,A,Cagliari
6243,Borrelli,A,Cagliari
247,Pavoletti,A,Cagliari
4359,Piccoli,A,Cagliari
6966,Butez,P,Como
2809,Vigorito,P,Como
6230,Dossena,D,Como
418,Goldaniga,D,Como
6893,Kempf,D,Como
7014,Smolcic I.,D,Como
6944,Jack,D,Como
6896,Van Der Brempt,D,Como
4994,Vojvoda,D,Como
5435,Moreno Alb.,D,Como
6867,Valle,D,Como
6656,Braunoder,C,Como
6676,Engelhardt,C,Como
6151,Perrone,C,Como
4284,Sergi Roberto,C,Como
5036,Caqueret,C,Como
5559,Da Cunha,C,Como
4486,Strefezza,C,Como
2553,Alli,C,Como
7126,Baturina,C,Como
6875,Paz N.,C,Como
7127,Addai,A,Como
6967,Diao,A,Como
7128,Kuhn,A,Como
7129,Rodriguez Je.,A,Como
7027,Azon,A,Como
2155,Cutrone,A,Como
7017,Douvikas,A,Como
6657,Gabrielloni,A,Como
761,Audero,P,Cremonese
6505,Nava,P,Cremonese
612,Bianchetti,D,Cremonese
7130,Folino,D,Cremonese
5860,Ravanelli,D,Cremonese
1891,Ceccherini,D,Cremonese
7131,Floriani Mussolini,D,Cremonese
6231,Azzi,D,Cremonese
770,Pezzella Giu.,D,Cremonese
5891,Quagliata,D,Cremonese
6013,Barbieri,D,Cremonese
2847,Sernicola,D,Cremonese
5863,Castagnetti,C,Cremonese
7132,Collocolo,C,Cremonese
27,Grassi,C,Cremonese
5857,Pickel,C,Cremonese
2274,Valoti,C,Cremonese
2842,Zanimacchia,C,Cremonese
7133,Vandeputte,C,Cremonese
449,Vazquez,C,Cremonese
5496,Johnsen,A,Cremonese
505,Bonazzoli,A,Cremonese
5515,Okereke,A,Cremonese
5512,De Luca,A,Cremonese
7134,Nasti,A,Cremonese
6403,Christensen O.,P,Fiorentina
2521,De Gea,P,Fiorentina
6184,Martinelli T.,P,Fiorentina
6495,Comuzzo,D,Fiorentina
4904,Marì,D,Fiorentina
5603,Pongracic,D,Fiorentina
5718,Viti,D,Fiorentina
4378,Ranieri L.,D,Fiorentina
5885,Dodò,D,Fiorentina
7069,Fortini,D,Fiorentina
2160,Gosens,D,Fiorentina
5449,Parisi,D,Fiorentina
5516,Bianco,C,Fiorentina
1933,Mandragora,C,Fiorentina
6294,Ndour,C,Fiorentina
6804,Richardson,C,Fiorentina
4465,Fagioli,C,Fiorentina
6010,Fazzini,C,Fiorentina
5788,Sabiri,C,Fiorentina
5800,Gudmundsson A.,C,Fiorentina
6409,Beltran L.,A,Fiorentina
647,Dzeko,A,Fiorentina
2097,Kean,A,Fiorentina
188,Leali,P,Genoa
6991,Siegrist,P,Genoa
219,Sommariva,P,Genoa
6660,Marcandalli,D,Genoa
6977,Otoa,D,Genoa
5739,De Winter,D,Milan
6245,Vogliacco,D,Genoa
5514,Vasquez,D,Genoa
6814,Norton-Cuffy,D,Genoa
2593,Martin,D,Genoa
791,Sabelli,D,Genoa
5791,Frendrup,C,Genoa
6917,Masini,C,Genoa
6020,Ellertsson,C,Genoa
4970,Messias,C,Genoa
4427,Malinovskyi,C,Genoa
7135,Stanciu,C,Genoa
4404,Thorsby,C,Genoa
6980,Venturino,C,Genoa
6722,Gronbaek,C,Genoa
6106,Carboni V.,C,Genoa
6822,Ekhator,A,Genoa
5506,Ekuban,A,Genoa
4923,Colombo,A,Genoa
6164,Vitinha O.,A,Genoa
1926,Di Gennaro,P,Inter
5116,Martinez Jo.,P,Inter
2428,Sommer,P,Inter
513,Acerbi,D,Inter
2120,Bastoni,D,Inter
6217,Bisseck,D,Inter
322,De Vrij,D,Inter
4177,Pavard,D,Inter
2525,Darmian,D,Inter
5877,Carlos Augusto,D,Inter
254,Dimarco,D,Inter
5513,Dumfries,D,Inter
5301,Luis Henrique,C,Inter
5422,Zalewski,C,Inter
5719,Asllani,C,Inter
2194,Calhanoglu,C,Inter
1870,Barella,C,Inter
7070,Sucic P.,C,Inter
2529,Mkhitaryan,C,Inter
2848,Frattesi,C,Inter
152,Zielinski,C,Inter
4463,Esposito Se.,A,Cagliari
6669,Bonny,A,Inter
7071,Esposito F.P.,A,Inter
2764,Martinez L.,A,Inter
6628,Taremi,A,Inter
4871,Thuram,A,Inter
5876,Di Gregorio,P,Juventus
218,Perin,P,Juventus
1930,Pinsoglio,P,Juventus
2788,Bremer,D,Juventus
5831,Gatti,D,Juventus
294,Rugani,D,Juventus
4976,Kalulu,D,Juventus
6766,Kelly L.,D,Juventus
6802,Savona,D,Juventus
6039,Cabal,D,Juventus
6803,Rouhi,D,Juventus
5520,Cambiaso,D,Juventus
7175,Joao Mario,D,Juventus
4711,Kostic,C,Juventus
4662,Weah,C,Juventus
827,Locatelli,C,Juventus
4973,McKennie,C,Juventus
5562,Thuram K.,C,Juventus
4911,Douglas Luiz,C,Juventus
5813,Miretti,C,Juventus
5685,Koopmeiners,C,Juventus
6884,Conceicao,C,Juventus
4179,Gonzalez N.,A,Juventus
6434,Yildiz,A,Juventus
5544,David,A,Juventus
2012,Milik,A,Juventus
2841,Vlahovic,A,Juventus
6417,Furlanetto,P,Lazio
6482,Mandas,P,Lazio
2814,Provedel,P,Lazio
5899,Gigot,D,Lazio
5833,Gila,D,Lazio
460,Romagnoli,D,Lazio
7012,Provstgaard,D,Lazio
327,Patric,D,Lazio
2263,Lazzari,D,Lazio
2728,Pellegrini Lu.,D,Lazio
5620,Tavares N.,D,Lazio
140,Hysaj,D,Lazio
2188,Marusic,D,Lazio
6191,Belahyane,C,Lazio
333,Cataldi,C,Lazio
4459,Rovella,C,Lazio
181,Vecino,C,Lazio
5674,Basic,C,Lazio
4186,Guendouzi,C,Lazio
6629,Dele-Bashiru,C,Lazio
6398,Isaksen,C,Lazio
632,Zaccagni,C,Lazio
5500,Cancellieri,A,Lazio
6556,Noslin,A,Lazio
2489,Pedro,A,Lazio
6226,Castellanos,A,Lazio
5672,Dia,A,Lazio
2134,Falcone,P,Lecce
2401,Fruchtl,P,Lecce
6523,Samooja,P,Lecce
5835,Baschirotto,D,Cremonese
6632,Gaspar K.,D,Lecce
6883,Jean,D,Lecce
6989,Tiago Gabriel,D,Lecce
7164,Perez M.,D,Lecce
7136,Kouassi,D,Lecce
6990,Veiga D.,D,Lecce
4502,Gallo,D,Lecce
7182,Ndaba,D,Lecce
5504,Coulibaly L.,C,Lecce
6410,Kaba,C,Lecce
5457,Maleh,C,Lecce
6633,Pierret,C,Lecce
6394,Ramadani,C,Lecce
6015,Berisha M.,C,Lecce
5872,Helgason,C,Lecce
6222,Rafia,C,Lecce
6634,Tete Morente,C,Lecce
6645,Marchwinski,C,Lecce
6549,Pierotti,C,Lecce
6001,Banda,A,Lecce
7001,N'Dri,A,Lecce
6519,Camarda,A,Lecce
6435,Krstovic,A,Lecce
4312,Maignan,P,Milan
2815,Terracciano,P,Milan
6813,Torriani,P,Milan
4401,Gabbia,D,Milan
5022,Pavlovic,D,Milan
6055,Thiaw,D,Milan
4751,Tomori,D,Milan
6496,Bartesaghi,D,Milan
5273,Estupinan,D,Milan
6531,Jimenez A.,D,Milan
5812,Terracciano F.,D,Cremonese
4892,Saelemaekers,C,Milan
5992,Bondo,C,Cremonese
4686,Fofana Y.,C,Milan
5453,Ricci S.,C,Milan
2606,Modric,C,Milan
5295,Musah,C,Milan
4199,Loftus-Cheek,C,Milan
4856,Chukwueze,C,Milan
6678,Liberali,C,Milan
2423,Pulisic,C,Milan
4510,Leao,A,Milan
6227,Okafor,A,Milan
7008,Gimenez,A,Milan
2845,Contini,P,Napoli
572,Meret,P,Napoli
2170,Milinkovic-Savic V.,P,Napoli
6202,Beukema,D,Napoli
2724,Buongiorno,D,Napoli
6809,Marianucci,D,Napoli
4409,Rrahmani,D,Napoli
256,Juan Jesus,D,Napoli
2816,Di Lorenzo,D,Napoli
5527,Zanoli,D,Napoli
5840,Olivera,D,Napoli
1852,Spinazzola,D,Napoli
5481,Mazzocchi,D,Napoli
5998,Zerbin,C,Cremonese
5131,Gilmour,C,Napoli
4287,Lobotka,C,Napoli
4220,Zambo Anguissa,C,Napoli
4777,McTominay,C,Napoli
536,Politano,C,Napoli
2517,De Bruyne,C,Napoli
6831,Neres,C,Napoli
7120,Lang,A,Napoli
4371,Raspadori,A,Napoli
6215,Lucca,A,Napoli
2531,Lukaku,A,Napoli
2061,Simeone,A,Torino
6662,Corvi,P,Parma
5338,Rinaldi,P,Parma
6641,Suzuki,P,Parma
5353,Balogh,D,Parma
6663,Circati,D,Parma
6887,Leoni,D,Parma
5307,Valenti,D,Parma
6664,Delprato,D,Parma
6821,Hainaut,D,Parma
6965,Lovik,D,Parma
5862,Valeri,D,Parma
5290,Estevez,C,Parma
6898,Keita M.,C,Parma
7138,Ordonez C.,C,Parma
6666,Bernabè,C,Parma
4423,Hernani,C,Parma
5319,Sohm,C,Fiorentina
5393,Man,C,Parma
6984,Ondrejka,C,Parma
6207,Almqvist,A,Parma
6667,Benedyczak,A,Parma
5471,Djuric,A,Parma
7023,Pellegrino M.,A,Parma
2271,Nicolas,P,Pisa
574,Scuffet,P,Pisa
2861,Semper,P,Pisa
7139,Canestrelli,D,Pisa
